"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PCNA",757.824702939727,0.273491541768843,0.115020122199617,2.3777712676587,0.0174176264048763,0.261406387592749
"CYCS",1503.25587356232,0.274930323254872,0.107445019458166,2.55880006948035,0.0105034128711326,0.20767428145799
"ARHGAP15",209.588061700317,0.274975354174648,0.12991295515886,2.11661226425342,0.0342927683936644,0.332752652197132
"RQCD1",830.544943122367,0.275399626421077,0.0784709225267853,3.50957549055284,0.000448822631761775,0.0562297041394939
"PAPSS1",388.227566168008,0.275811661073688,0.124142194983247,2.22173984527106,0.0263008921124453,0.306727248474581
"PITPNA",2019.91464027265,0.276932408950139,0.0759260155402804,3.64739815436805,0.000264909261073549,0.0477095820296482
"PPIL1",488.228433152222,0.277436429385275,0.138543054639945,2.00252860099191,0.0452279102182372,0.366624874953998
"TMEM185B",429.191062591103,0.279046255014515,0.0917009324732838,3.04300346232371,0.00234229638172861,0.107323398073418
"PAM",955.557564787373,0.279058607719069,0.0933395503615699,2.98971450620961,0.00279238305031739,0.115931564559556
"CLIC1",2034.54795807559,0.279146439215906,0.0974423173154939,2.86473522906993,0.00417358046386107,0.140839215286587
"ZBTB8A",151.506690900781,0.279439192734981,0.132215053928015,2.11352024170503,0.0345562643721586,0.334245618436833
"IFNGR2",944.416765635552,0.279577311577284,0.0843416941632016,3.31481735517787,0.000917030207942622,0.0723536834066729
"SPARC",7493.23904284468,0.280251269866866,0.138973476761495,2.0165809793176,0.0437392596126177,0.362225101252401
"FOCAD",534.483853798466,0.281128877886327,0.116163227266283,2.42011938289119,0.0155154124046107,0.249103554391468
"GOLT1A",1786.0788665632,0.281226486226574,0.118547231944029,2.37227374789612,0.0176789869498268,0.262904710136118
"HMGB2",426.571674461079,0.281708935432754,0.105685540046046,2.66553906343306,0.00768650010951759,0.182985086658904
"TGFBR1",835.779909048802,0.281980911611546,0.123488021169912,2.28346773185035,0.0224028315024059,0.28931606793715
"NPC2",2142.54712093818,0.282424512918399,0.114250842571881,2.4719687536721,0.0134371260323075,0.233130619088276
"CERK",1957.13531049362,0.282647482887968,0.123053910072801,2.29694028187117,0.0216221766532298,0.283656250963867
"ACER3",239.448648124512,0.282810143792493,0.133490223404106,2.11858319344002,0.034125707309405,0.332752652197132
"STAP2",1474.49276269903,0.283248773576382,0.128781531122781,2.19945182439499,0.0278458110992497,0.311916581738133
